"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"1012-10","USD","1012-10-0","Jd. Monte Belo","0","71153"
"1012-10","USD","1012-10-1","Term. Jd. Britania","1","71154"
"1015-10","USD","1015-10-0","Chác. Maria Trindade","0","64502"
"1016-10","USD","1016-10-0","Shop. Center Norte","0","72283"
"1016-10","USD","1016-10-1","Cem. Do Horto","1","70218"
"1017-10","USD","1017-10-0","Conexão Vl. Iório","0","72355"
"1017-10","USD","1017-10-1","Perus","1","72356"
"1018-10","USD","1018-10-0","Metrô Santana","0","71029"
"1018-10","USD","1018-10-1","Vl. Rosa","1","71030"
"1019-10","USD","1019-10-0","Term. Pirituba","0","63252"
"1019-10","USD","1019-10-1","Sol Nascente","1","63253"
"1020-10","USD","1020-10-0","Conexão Vl. Iório ","0","69454"
"1020-10","USD","1020-10-1","Perus","1","70426"
"1021-10","US_","1021-10-0","Term. Pirituba","0","58785"
"1021-10","US_","1021-10-1","Cohab Brasilândia","1","58786"
"1024-10","USD","1024-10-0","Conexão Petrônio Portela","0","58765"
"1024-10","USD","1024-10-1","Jd. Carombé","1","58766"
"1025-10","USD","1025-10-0","Conexão Petrônio Portela","0","58767"
"1025-10","USD","1025-10-1","Jd. Carombé","1","58768"
"1026-10","USD","1026-10-0","Conexão Petrônio Portela","0","60399"
"1026-10","USD","1026-10-1","Vl. Iara","1","60400"
"1034-10","USD","1034-10-0","Conexão Vl. Iório","0","60393"
"1034-10","USD","1034-10-1","Vl. Iara","1","60394"
"1036-10","USD","1036-10-0","Conexão Vl. Iório","0","71155"
"1036-10","USD","1036-10-1","Cohab Brasilândia","1","71156"
"106A-10","USD","106A-10-0","Itaim Bibi","0","60966"
"106A-10","USD","106A-10-1","Metrô Santana","1","60967"
"107T-10","USD","107T-10-0","Term. Pinheiros","0","68365"
"107T-10","USD","107T-10-1","Metrô Tucuruvi","1","68366"
"1156-10","USD","1156-10-0","Pça. Do Correio","0","70848"
"1156-10","USD","1156-10-1","Vl. Sabrina","1","70849"
"1177-10","USD","1177-10-0","Luz","0","71841"
"1177-10","USD","1177-10-1","Term. A. E. Carvalho","1","72493"
"1177-31","U__","1177-31-0","Luz","0","70860"
"1177-31","U__","1177-31-1","Term. A. E. Carvalho","1","70861"
"1178-10","USD","1178-10-0","Pça. Do Correio","0","70160"
"1178-10","USD","1178-10-1","São Miguel","1","70161"
"1178-31","U__","1178-31-0","Pça. Do Correio","0","70711"
"1178-31","U__","1178-31-1","São Miguel","1","70712"
"1178-32","U__","1178-32-0","Pça. Do Correio","0","58412"
"1178-33","U__","1178-33-0","São Miguel","0","61711"
"1178-42","U__","1178-42-0","Pça. Do Correio","0","58413"
"118C-10","USD","118C-10-0","Term. Amaral Gurgel","0","69569"
"118C-10","USD","118C-10-1","Jd. Pery Alto","1","72243"
"118Y-10","USD","118Y-10-0","Lapa","0","72284"
"118Y-10","USD","118Y-10-1","Lauzane Paulista","1","70437"
"119C-10","USD","119C-10-0","Term. Princ. Isabel","0","71438"
"119C-10","USD","119C-10-1","Pq. Edu Chaves","1","71439"
"119L-1","U__","119L-1-0","Term. Lapa","0","63667"
"119L-1","U__","119L-1-1","Vl. Sulina","1","63668"
"119L-10","US_","119L-10-0","Term. Lapa","0","58450"
"119L-10","US_","119L-10-1","Vl. Sulina","1","58447"
"1206-10","USD","1206-10-0","Correio","0","64536"
"121G-10","USD","121G-10-0","Metrô Tucuruvi","0","52421"
"128Y-10","USD","128Y-10-0","Lapa","0","70056"
"128Y-10","USD","128Y-10-1","Jd. Pery Alto","1","70054"
"129F-10","USD","129F-10-0","Metrô Barra Funda","0","63902"
"129F-10","USD","129F-10-1","Conexão Petrônio Portela","1","63903"
"129F-41","U__","129F-41-0","Pça. Do Correio","0","72391"
"129F-41","U__","129F-41-1","Conexão Petrônio Portela","1","72392"
"139A-10","USD","139A-10-0","Lapa","0","61292"
"139A-10","USD","139A-10-1","Vl. Iório","1","61293"
"148L-10","USD","148L-10-0","Lapa","0","70648"
"148L-10","USD","148L-10-1","Cohab Antártica","1","52858"
"148P-10","USD","148P-10-0","Metrô Barra Funda","0","62166"
"148P-10","USD","148P-10-1","Pedra Branca","1","68275"
"1701-10","USD","1701-10-0","Metrô Santana","0","61085"
"1701-21","USD","1701-21-0","Metrô Tucuruvi","0","71290"
"1701-21","USD","1701-21-1","Jova Rural","1","71291"
"1701-22","U__","1701-22-0","Metrô Tucuruvi","0","71825"
"1701-22","U__","1701-22-1","Jova Rural","1","71826"
"1702-10","USD","1702-10-0","Tietê","0","61553"
"1702-10","USD","1702-10-1","Jova Rural","1","61554"
"1703-10","USD","1703-10-0","Shop. Center Norte","0","69944"
"1703-10","USD","1703-10-1","Jd. Fontális","1","69945"
"1705-10","USD","1705-10-0","Metrô Tucuruvi","0","72289"
"1705-10","USD","1705-10-1","Jd. São João","1","72290"
"1705-51","U__","1705-51-0","Metrô Tucuruvi","0","71838"
"1705-51","U__","1705-51-1","Cem. Pq. Da Cantareira","1","71839"
"1709-10","USD","1709-10-0","Metrô Tucuruvi","0","68449"
"1709-10","USD","1709-10-1","Jd. Joana D'arc","1","69504"
"1709-21","U__","1709-21-0","Metrô Tucuruvi","0","64459"
"1720-10","USD","1720-10-0","Cantareira","0","72291"
"1720-10","USD","1720-10-1","Jd. Guancã","1","72292"
"1720-21","USD","1720-21-0","Metrô Tucuruvi","0","52936"
"1721-10","USD","1721-10-0","Metrô Carandiru","0","52941"
"1722-10","USD","1722-10-0","Metrô Tucuruvi","0","65279"
"1722-10","USD","1722-10-1","Jd. Marina","1","69502"
"1726-10","USD","1726-10-0","Metrô Santana","0","52429"
"1726-10","USD","1726-10-1","Cem. Pq. Dos Pinheiros","1","72370"
"172J-10","USD","172J-10-0","Tatuapé","0","71843"
"172J-10","USD","172J-10-1","Jd. Brasil","1","70928"
"172K-10","USD","172K-10-0","Metrô Tatuapé","0","63523"
"172K-10","USD","172K-10-1","Jd. Tremembé","1","72579"
"172N-10","USD","172N-10-0","Metrô Belém","0","60354"
"172N-10","USD","172N-10-1","Shop. Center Norte","1","71105"
"172P-10","USD","172P-10-0","Metrô Belém","0","53714"
"172P-10","USD","172P-10-1","Vl. Zilda","1","72580"
"172R-10","USD","172R-10-0","Metrô Belém","0","72285"
"172R-10","USD","172R-10-1","Jaçanã","1","63503"
"172U-10","USD","172U-10-0","Mooca","0","68338"
"172U-10","USD","172U-10-1","Cem. Pq. Dos Pinheiros","1","68336"
"172X-10","USD","172X-10-0","Metrô Tatuapé","0","72368"
"172X-10","USD","172X-10-1","Pq. Novo Mundo","1","72369"
"172Y-10","USD","172Y-10-0","Metrô Belém","0","72287"
"172Y-10","USD","172Y-10-1","Vl. Constança","1","72288"
"1730-10","USD","1730-10-0","Metrô Santana","0","70938"
"1730-10","USD","1730-10-1","Center Norte","1","70682"
"1732-10","USD","1732-10-0","Term. Amaral Gurgel","0","59676"
"1732-10","USD","1732-10-1","Vl. Sabrina","1","72282"
"1738-10","USD","1738-10-0","Metrô Santana","0","56833"
"1738-10","USD","1738-10-1","Vl. Constança","1","56835"
"1741-10","USD","1741-10-0","Metrô Santana","0","71673"
"1741-10","USD","1741-10-1","Vl. Dionisia","1","71674"
"1742-10","USD","1742-10-0","Metrô Santana","0","70337"
"1742-10","USD","1742-10-1","Jd. Antártica","1","69928"
"1743-10","USD","1743-10-0","Shop. D","0","63641"
"1743-10","USD","1743-10-1","Jd. Pery Alto","1","71663"
"1744-10","USD","1744-10-0","Metrô Santana","0","69946"
"1744-10","USD","1744-10-1","Lauzane Paulista","1","69947"
"1745-10","USD","1745-10-0","Shop. Center Norte","0","71972"
"1745-10","USD","1745-10-1","Vl.nova Cachoeirinha","1","71973"
"174M-10","USD","174M-10-0","Museu Do Ipiranga","0","70059"
"174M-10","USD","174M-10-1","Vl. Sabrina","1","70060"
"1756-10","USD","1756-10-0","Metrô Santana","0","62169"
"1756-10","USD","1756-10-1","Pedra Branca","1","64709"
"1757-10","US_","1757-10-0","Metrô Santana ","0","56298"
"1758-10","USD","1758-10-0","Metrô Santana","0","61018"
"1758-10","USD","1758-10-1","Jd. Antártica","1","53039"
"1759-10","USD","1759-10-0","Metrô Santana","0","69951"
"1759-10","USD","1759-10-1","Jd. Pery","1","69952"
"175P-10","USD","175P-10-0","Ana Rosa","0","60972"
"175P-10","USD","175P-10-1","Metrô Santana","1","71352"
"175T-10","USD","175T-10-0","Metrô Jabaquara","0","70489"
"175T-10","USD","175T-10-1","Metrô Santana","1","61848"
"1760-10","USD","1760-10-0","Shop. Center Norte","0","69587"
"1760-10","USD","1760-10-1","Cohab Antártica","1","71614"
"1764-10","USD","1764-10-0","Metrô Santana","0","53087"
"1764-10","USD","1764-10-1","Jd. Corisco","1","71615"
"1765-10","USD","1765-10-0","Metrô Tucuruvi","0","71863"
"1765-10","USD","1765-10-1","Jd. Cabuçu","1","71862"
"1767-10","USD","1767-10-0","Metrô Tucuruvi","0","65185"
"1767-10","USD","1767-10-1","Pq. Edu Chaves","1","72237"
"1771-10","US_","1771-10-0","Metrô Santana","0","69953"
"1771-10","US_","1771-10-1","Jd. Fontális","1","69954"
"1772-10","USD","1772-10-0","Metrô Tucuruvi","0","72527"
"1772-10","USD","1772-10-1","Jd. Filhos Da Terra","1","72528"
"1773-10","USD","1773-10-0","Mandaqui","0","53419"
"1773-10","USD","1773-10-1","Cem. Pq. Dos Pinheiros","1","53420"
"1775-10","USD","1775-10-0","Shop. Center Norte","0","70219"
"1775-10","USD","1775-10-1","Vl. Albertina","1","69501"
"1778-10","USD","1778-10-0","Metrô Santana","0","70897"
"177H-10","U__","177H-10-0","Cid. Universitária","0","63419"
"177H-10","U__","177H-10-1","Metrô Santana","1","63420"
"177Y-10","USD","177Y-10-0","Pinheiros","0","63736"
"177Y-10","USD","177Y-10-1","Metrô Barra Funda","1","63737"
"1780-10","USD","1780-10-0","Metrô Parada Inglesa","0","68489"
"1780-10","USD","1780-10-1","Jd. Hebron","1","72293"
"1782-10","USD","1782-10-0","Metrô Santana","0","64672"
"1783-10","USD","1783-10-0","Metrô Santana","0","72486"
"1783-10","USD","1783-10-1","Cachoeira","1","72487"
"1783-22","U__","1783-22-0","Metrô Santana","0","72255"
"1785-10","USD","1785-10-0","Metrô Santana","0","72323"
"1785-10","USD","1785-10-1","Vl. Aurora","1","72324"
"1786-10","USD","1786-10-0","Metrô Santana","0","63717"
"1786-10","USD","1786-10-1","Vl. Albertina","1","63718"
"1787-10","USD","1787-10-0","Metrô Santana","0","53546"
"1787-10","USD","1787-10-1","Vl. Marieta","1","53547"
"1788-10","USD","1788-10-0","Metrô Santana","0","64788"
"1788-10","USD","1788-10-1","Jd. Fontális","1","71609"
"1788-51","U__","1788-51-0","Metrô Santana","0","54657"
"1788-51","U__","1788-51-1","Jd. Campo Limpo","1","54658"
"178A-10","USD","178A-10-0","Lapa","0","71885"
"178A-10","USD","178A-10-1","Metrô Santana","1","71886"
"178L-10","USD","178L-10-0","Hosp. Das Clínicas","0","69505"
"178L-10","USD","178L-10-1","Lauzane Paulista","1","53424"
"178T-10","USD","178T-10-0","Ceasa","0","60983"
"178T-10","USD","178T-10-1","Metrô Santana","1","71692"
"178Y-10","USD","178Y-10-0","Metrô Jd. São Paulo","0","63375"
"178Y-10","USD","178Y-10-1","Vl. Amélia","1","72294"
"178Y-21","U__","178Y-21-0","Metrô Jd. São Paulo","0","68778"
"178Y-21","U__","178Y-21-1","Conj. Dos Bancários","1","68779"
"179X-10","USD","179X-10-0","Metrô Barra Funda","0","71031"
"179X-10","USD","179X-10-1","Jd. Fontális","1","71032"
"1896-10","USD","1896-10-0","Pça. Ramos De Azevedo","0","70663"
"1896-10","USD","1896-10-1","Jaraguá","1","70664"
"189L-10","USD","189L-10-0","Lapa","0","63527"
"189L-10","USD","189L-10-1","Conexão Vl. Iório","1","72337"
"199D-10","USD","199D-10-0","Term. Pinheiros","0","71123"
"199D-10","USD","199D-10-1","Conexão Vl. Iório","1","57749"
"2002-10","USD","2002-10-0","Term. Bandeira","0","69240"
"2004-10","USD","2004-10-0","Cptm Guaianazes","0","52380"
"2004-10","USD","2004-10-1","Jd. Nsa. Sra. Do Caminho","1","63432"
"2005-10","USD","2005-10-0","São Miguel","0","60783"
"2006-10","USD","2006-10-0","Cptm Itaim Paulista","0","70207"
"2006-10","USD","2006-10-1","Cid. Kemel I","1","70212"
"2007-10","USD","2007-10-0","Cptm Itaim Paulista","0","61824"
"2007-10","USD","2007-10-1","Cid. Kemel Ii","1","61825"
"2008-10","USD","2008-10-0","Cptm Itaim Paulista","0","52774"
"2008-10","USD","2008-10-1","Jd. Nsa. Sra. Do Caminho","1","70208"
"2009-10","USD","2009-10-0","Cptm Guaianazes","0","64506"
"2009-10","USD","2009-10-1","Jd. Robru","1","64507"
"2010-10","USD","2010-10-0","Shop. D","0","71870"
"2010-10","USD","2010-10-1","Pq. Edu Chaves","1","71871"
"2011-10","USD","2011-10-0","Metrô Santana","0","62249"
"2011-10","USD","2011-10-1","Vl. Sabrina","1","72242"
"2012-10","US_","2012-10-0","Metrô Tietê","0","69290"
"2013-10","USD","2013-10-0","Cachoeirinha","0","70111"
"2013-10","USD","2013-10-1","Cohab Antártica","1","61183"
"2014-10","USD","2014-10-0","Metrô Barra Funda","0","71033"
"2014-10","USD","2014-10-1","Jd. Pery Alto","1","71034"
"2016-10","USD","2016-10-0","São Miguel","0","70197"
"2016-10","USD","2016-10-1","Jd. Das Oliveiras","1","59109"
"2017-10","USD","2017-10-0","São Miguel","0","69021"
"2018-10","USD","2018-10-0","São Miguel","0","54224"
"2019-10","USD","2019-10-0","Shop. Penha","0","72024"
"2019-10","USD","2019-10-1","Pq. Paineiras","1","72026"
"2020-10","USD","2020-10-0","Metrô Tucuruvi","0","68839"
"2021-10","USD","2021-10-0","Cptm Guaianazes","0","56231"
"2021-10","USD","2021-10-1","Jd. Bandeirantes","1","56232"
"2023-10","USD","2023-10-0","Metrô Tucuruvi","0","72488"
"2023-10","USD","2023-10-1","Cachoeira","1","72489"
"2023-41","U__","2023-41-0","Metrô Tucuruvi","0","72139"
"2023-41","U__","2023-41-1","Jd. Labitary","1","72140"
"2024-10","USD","2024-10-0","Cachoeira","0","72505"
"2025-10","USD","2025-10-0","Santana","0","64673"
"2025-10","USD","2025-10-1","Vl. Nova Galvão","1","71683"
"2026-10","USD","2026-10-0","Pq. Novo Mundo","0","60288"
"2026-10","USD","2026-10-1","Jaçanã","1","63434"
"2028-10","USD","2028-10-0","Metrô Tucuruvi","0","65251"
"2028-10","USD","2028-10-1","Vl. Ayrosa","1","65252"
"2029-10","USD","2029-10-0","Metrô Tucuruvi","0","71872"
"2029-10","USD","2029-10-1","Jd. Fontális","1","71873"
"2030-10","U__","2030-10-0","Metrô Santana","0","65209"
"2031-10","USD","2031-10-0","Term. A. E. Carvalho","0","72382"
"2031-10","USD","2031-10-1","Cid. Kemel Ii","1","72383"
"2032-10","US_","2032-10-0","Metrô Carandiru","0","64675"
"2033-10","USD","2033-10-0","Term. Rod. Tietê ","0","69346"
"2058-10","US_","2058-10-0","Cptm Guaianazes","0","65011"
"2058-10","US_","2058-10-1","Term. São Miguel","1","65012"
"2059-10","USD","2059-10-0","Cptm Guaianazes","0","52554"
"2059-10","USD","2059-10-1","São Miguel","1","70127"
"2060-10","USD","2060-10-0","Metrô Artur Alvim","0","57222"
"2076-10","USD","2076-10-0","Term. Penha","0","69198"
"2076-10","USD","2076-10-1","Jd. Das Oliveiras","1","63909"
"2079-10","U__","2079-10-0","Cptm Itaim Paulista","0","64723"
"2080-10","USD","2080-10-0","Term. Aricanduva","0","55813"
"2080-10","USD","2080-10-1","Cid. Kemel","1","65356"
"2088-10","USD","2088-10-0","Term. A. E. Carvalho","0","59120"
"2088-10","USD","2088-10-1","Conj. Encosta Norte","1","70134"
"208M-10","USD","208M-10-0","Term. Pinheiros","0","65000"
"208M-10","USD","208M-10-1","Metrô Santana","1","68276"
"208V-10","USD","208V-10-0","Term. Pq. D. Pedro Ii","0","70114"
"208V-10","USD","208V-10-1","Term. A. E. Carvalho","1","63046"
"209P-1","USD","209P-1-0","Term. Pinheiros","0","59036"
"209P-1","USD","209P-1-1","Cachoeirinha","1","71969"
"209P-10","USD","209P-10-0","Term. Pinheiros","0","59026"
"209P-10","USD","209P-10-1","Cachoeirinha","1","71684"
"2100-10","US_","2100-10-0","Pça. Da Sé","0","59799"
"2100-10","US_","2100-10-1","Term. Vl. Carrão","1","45818"
"2101-10","U__","2101-10-0","Pça. Da Sé","0","59802"
"2101-41","U__","2101-41-0","Term. Vl. Prudente","0","69698"
"2104-10","USD","2104-10-0","Term. Pq. D. Pedro Ii","0","71689"
"2104-10","USD","2104-10-1","Metrô Santana","1","71690"
"2105-10","USD","2105-10-0","Lgo. Da Concórdia","0","72529"
"2105-10","USD","2105-10-1","Jd. Filhos Da Terra","1","72531"
